#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
0;20/08/2026 14:19:39;IRP_MJ_CREATE;DOWN;STATUS_PENDING;;"C:\Program Files (x86)\Multiecuscan\Multiecuscan.exe";;;COM5;;
1;20/08/2026 14:19:39;IRP_MJ_CREATE;UP;STATUS_SUCCESS;;"C:\Program Files (x86)\Multiecuscan\Multiecuscan.exe";;;COM5;;
2;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_PROPERTIES);DOWN;STATUS_PENDING;;"";;;COM5;;
3;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_PROPERTIES);UP;STATUS_SUCCESS;40 00 02 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 01 00 00 00 ff 00 00 00 7f 00 00 00 ff ff 07 10 0f 00 07 1f 00 00 00 00 d8 0c 01 00 00 00 00 00 23 55 48 43 00 00 00 00 ;"@...........................ÿ......ÿÿ..........Ø.......#UHC....";64;;COM5;;
4;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_MODEMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
5;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_MODEMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 ;"....";4;;COM5;;
6;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;STATUS_PENDING;;"";;;COM5;;
7;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;c0 12 00 00 ;"À...";4;;COM5;;
8;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);DOWN;STATUS_PENDING;;"";;;COM5;;
9;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;"...";3;;COM5;;
10;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);DOWN;STATUS_PENDING;;"";;;COM5;;
11;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;00 00 00 00 11 13 ;"......";6;;COM5;;
12;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);DOWN;STATUS_PENDING;;"";;;COM5;;
13;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 6c 86 00 00 9b 21 00 00 ;"........l†..›!..";16;;COM5;;
14;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;STATUS_PENDING;;"";;;COM5;;
15;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;c0 12 00 00 ;"À...";4;;COM5;;
16;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);DOWN;STATUS_PENDING;;"";;;COM5;;
17;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;"...";3;;COM5;;
18;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);DOWN;STATUS_PENDING;;"";;;COM5;;
19;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;00 00 00 00 11 13 ;"......";6;;COM5;;
20;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);DOWN;STATUS_PENDING;;"";;;COM5;;
21;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 6c 86 00 00 9b 21 00 00 ;"........l†..›!..";16;;COM5;;
22;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);DOWN;STATUS_PENDING;80 25 00 00 ;"€%..";4;;COM5;;
23;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);UP;STATUS_SUCCESS;;"";;;COM5;;
24;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);DOWN;STATUS_PENDING;;"";;;COM5;;
25;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);UP;STATUS_SUCCESS;;"";;;COM5;;
26;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);DOWN;STATUS_PENDING;;"";;;COM5;;
27;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);UP;STATUS_SUCCESS;;"";;;COM5;;
28;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);DOWN;STATUS_PENDING;00 00 08 ;"...";3;;COM5;;
29;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);UP;STATUS_SUCCESS;;"";;;COM5;;
30;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);DOWN;STATUS_PENDING;1a 00 00 1a 11 13 ;"......";6;;COM5;;
31;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);UP;STATUS_SUCCESS;;"";;;COM5;;
32;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);DOWN;STATUS_PENDING;00 00 00 00 00 00 00 00 36 43 00 00 36 43 00 00 ;"........6C..6C..";16;;COM5;;
33;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);UP;STATUS_SUCCESS;;"";;;COM5;;
34;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;STATUS_PENDING;;"";;;COM5;;
35;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;80 25 00 00 ;"€%..";4;;COM5;;
36;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);DOWN;STATUS_PENDING;;"";;;COM5;;
37;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;"...";3;;COM5;;
38;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);DOWN;STATUS_PENDING;;"";;;COM5;;
39;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;1a 00 00 1a 11 13 ;"......";6;;COM5;;
40;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);DOWN;STATUS_PENDING;;"";;;COM5;;
41;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 36 43 00 00 36 43 00 00 ;"........6C..6C..";16;;COM5;;
42;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);DOWN;STATUS_PENDING;80 25 00 00 ;"€%..";4;;COM5;;
43;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);UP;STATUS_SUCCESS;;"";;;COM5;;
44;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);DOWN;STATUS_PENDING;;"";;;COM5;;
45;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);UP;STATUS_SUCCESS;;"";;;COM5;;
46;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);DOWN;STATUS_PENDING;;"";;;COM5;;
47;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);UP;STATUS_SUCCESS;;"";;;COM5;;
48;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);DOWN;STATUS_PENDING;00 00 08 ;"...";3;;COM5;;
49;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);UP;STATUS_SUCCESS;;"";;;COM5;;
50;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);DOWN;STATUS_PENDING;1a 00 00 1a 11 13 ;"......";6;;COM5;;
51;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);UP;STATUS_SUCCESS;;"";;;COM5;;
52;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);DOWN;STATUS_PENDING;00 00 00 00 00 00 00 00 36 43 00 00 36 43 00 00 ;"........6C..6C..";16;;COM5;;
53;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);UP;STATUS_SUCCESS;;"";;;COM5;;
54;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);DOWN;STATUS_PENDING;;"";;;COM5;;
55;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);UP;STATUS_SUCCESS;;"";;;COM5;;
56;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_TIMEOUTS);DOWN;STATUS_PENDING;ff ff ff ff ff ff ff ff fe ff ff ff 00 00 00 00 88 13 00 00 ;"ÿÿÿÿÿÿÿÿþÿÿÿ....ˆ...";20;;COM5;;
57;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_TIMEOUTS);UP;STATUS_SUCCESS;;"";;;COM5;;
58;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_WAIT_MASK);DOWN;STATUS_PENDING;fb 01 00 00 ;"û...";4;;COM5;;
59;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_WAIT_MASK);UP;STATUS_SUCCESS;;"";;;COM5;;
60;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_QUEUE_SIZE);DOWN;STATUS_PENDING;00 10 00 00 02 00 00 00 ;"........";8;;COM5;;
61;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_QUEUE_SIZE);UP;STATUS_SUCCESS;;"";;;COM5;;
62;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_TIMEOUTS);DOWN;STATUS_PENDING;ff ff ff ff ff ff ff ff 32 00 00 00 00 00 00 00 88 13 00 00 ;"ÿÿÿÿÿÿÿÿ2.......ˆ...";20;;COM5;;
63;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_TIMEOUTS);UP;STATUS_SUCCESS;;"";;;COM5;;
64;20/08/2026 14:19:39;IRP_MJ_WRITE;DOWN;STATUS_PENDING;00 ;".";1;1;COM5;;
65;20/08/2026 14:19:39;IRP_MJ_WRITE;UP;STATUS_SUCCESS;00 ;".";1;;COM5;;
66;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
67;20/08/2026 14:19:39;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
68;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
69;20/08/2026 14:19:39;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM5;;
70;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
71;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
72;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_WAIT_MASK);DOWN;STATUS_PENDING;00 00 00 00 ;"....";4;;COM5;;
73;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_WAIT_MASK);UP;STATUS_SUCCESS;;"";;;COM5;;
74;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);DOWN;STATUS_PENDING;;"";;;COM5;;
75;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);UP;STATUS_SUCCESS;;"";;;COM5;;
76;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_PURGE);DOWN;STATUS_PENDING;0a 00 00 00 ;"....";4;;COM5;;
77;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_PURGE);UP;STATUS_SUCCESS;;"";;;COM5;;
78;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_PURGE);DOWN;STATUS_PENDING;05 00 00 00 ;"....";4;;COM5;;
79;20/08/2026 14:19:39;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_PURGE);UP;STATUS_SUCCESS;;"";;;COM5;;
80;20/08/2026 14:19:39;IRP_MJ_CLOSE;DOWN;STATUS_PENDING;;"";;;COM5;;
81;20/08/2026 14:19:39;IRP_MJ_CLOSE;UP;STATUS_SUCCESS;;"";;;COM5;;
82;20/08/2026 14:19:44;IRP_MJ_CREATE;DOWN;STATUS_PENDING;;"C:\Program Files (x86)\Multiecuscan\Multiecuscan.exe";;;COM5;;
83;20/08/2026 14:19:44;IRP_MJ_CREATE;UP;STATUS_SUCCESS;;"C:\Program Files (x86)\Multiecuscan\Multiecuscan.exe";;;COM5;;
84;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_PROPERTIES);DOWN;STATUS_PENDING;;"";;;COM5;;
85;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_PROPERTIES);UP;STATUS_SUCCESS;40 00 02 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 01 00 00 00 ff 00 00 00 7f 00 00 00 ff ff 07 10 0f 00 07 1f 00 00 00 00 d8 0c 01 00 00 00 00 00 23 55 48 43 00 00 00 00 ;"@...........................ÿ......ÿÿ..........Ø.......#UHC....";64;;COM5;;
86;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_MODEMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
87;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_MODEMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 ;"....";4;;COM5;;
88;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;STATUS_PENDING;;"";;;COM5;;
89;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;80 25 00 00 ;"€%..";4;;COM5;;
90;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);DOWN;STATUS_PENDING;;"";;;COM5;;
91;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;"...";3;;COM5;;
92;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);DOWN;STATUS_PENDING;;"";;;COM5;;
93;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;1a 00 00 1a 11 13 ;"......";6;;COM5;;
94;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);DOWN;STATUS_PENDING;;"";;;COM5;;
95;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 6c 86 00 00 9b 21 00 00 ;"........l†..›!..";16;;COM5;;
96;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;STATUS_PENDING;;"";;;COM5;;
97;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;80 25 00 00 ;"€%..";4;;COM5;;
98;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);DOWN;STATUS_PENDING;;"";;;COM5;;
99;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;"...";3;;COM5;;
100;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);DOWN;STATUS_PENDING;;"";;;COM5;;
101;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;1a 00 00 1a 11 13 ;"......";6;;COM5;;
102;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);DOWN;STATUS_PENDING;;"";;;COM5;;
103;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 6c 86 00 00 9b 21 00 00 ;"........l†..›!..";16;;COM5;;
104;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);DOWN;STATUS_PENDING;c0 12 00 00 ;"À...";4;;COM5;;
105;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);UP;STATUS_SUCCESS;;"";;;COM5;;
106;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);DOWN;STATUS_PENDING;;"";;;COM5;;
107;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);UP;STATUS_SUCCESS;;"";;;COM5;;
108;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);DOWN;STATUS_PENDING;;"";;;COM5;;
109;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);UP;STATUS_SUCCESS;;"";;;COM5;;
110;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);DOWN;STATUS_PENDING;00 00 08 ;"...";3;;COM5;;
111;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);UP;STATUS_SUCCESS;;"";;;COM5;;
112;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);DOWN;STATUS_PENDING;1a 00 00 1a 11 13 ;"......";6;;COM5;;
113;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);UP;STATUS_SUCCESS;;"";;;COM5;;
114;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);DOWN;STATUS_PENDING;00 00 00 00 00 00 00 00 36 43 00 00 36 43 00 00 ;"........6C..6C..";16;;COM5;;
115;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);UP;STATUS_SUCCESS;;"";;;COM5;;
116;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;STATUS_PENDING;;"";;;COM5;;
117;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;c0 12 00 00 ;"À...";4;;COM5;;
118;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);DOWN;STATUS_PENDING;;"";;;COM5;;
119;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;"...";3;;COM5;;
120;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);DOWN;STATUS_PENDING;;"";;;COM5;;
121;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;1a 00 00 1a 11 13 ;"......";6;;COM5;;
122;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);DOWN;STATUS_PENDING;;"";;;COM5;;
123;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 36 43 00 00 36 43 00 00 ;"........6C..6C..";16;;COM5;;
124;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);DOWN;STATUS_PENDING;c0 12 00 00 ;"À...";4;;COM5;;
125;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);UP;STATUS_SUCCESS;;"";;;COM5;;
126;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);DOWN;STATUS_PENDING;;"";;;COM5;;
127;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);UP;STATUS_SUCCESS;;"";;;COM5;;
128;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);DOWN;STATUS_PENDING;;"";;;COM5;;
129;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);UP;STATUS_SUCCESS;;"";;;COM5;;
130;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);DOWN;STATUS_PENDING;00 00 08 ;"...";3;;COM5;;
131;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);UP;STATUS_SUCCESS;;"";;;COM5;;
132;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);DOWN;STATUS_PENDING;1a 00 00 1a 11 13 ;"......";6;;COM5;;
133;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);UP;STATUS_SUCCESS;;"";;;COM5;;
134;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);DOWN;STATUS_PENDING;00 00 00 00 00 00 00 00 36 43 00 00 36 43 00 00 ;"........6C..6C..";16;;COM5;;
135;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);UP;STATUS_SUCCESS;;"";;;COM5;;
136;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);DOWN;STATUS_PENDING;;"";;;COM5;;
137;20/08/2026 14:19:44;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);UP;STATUS_SUCCESS;;"";;;COM5;;
